year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1911,314,Albania Territorial Waters,Centroid of territorial waters,19.34,40.8251,3,ArcGIS and Marine Regions,Territorial waters,,70916,"Albania, Adriatic Sea",Durres,41.3231,19.4414,5
1911,315,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,58653,,md point of GER FRA border,49,8.36,4
1911,1087,Morocco (Northern [> ADM 1]),Centroid of > ADM1,-5.2002,32.9735,5,ArcGIS and GADM,> ADM1,,82467,Northern Morocco,Tangier,35.7847,-5.81278,3
1911,1161,Cagueta/Yapura River,Midpoint of river,-70.698,-1.37853,5,ArcGIS and Natural Earth Data,Point along a line,,131536,"Cagueta, Yapura region","Yapura, Peru",-4.51667,-71.7333,3
1911,1181,Chile-Peru Border,Midpoint of shared (national) border,-69.7861,-18.0145,5,ArcGIS and cShapes,Point along a line,Dual event; Uses 1946 data,156022,Tacna Arica border,"Tacna, Peru",-17.8333,-70.5,1
1911,1653,Mexico-United States Border,Midpoint of shared (national) border,-105.809,31.2332,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,84826,MEX-US border,MID PT ON BORDER,31.2192,-105.938,4
1911,1734,Guatemala,Centroid of ADM0,-90.3562,15.7021,6,ArcGIS and cShapes,State,Uses 1946 data,107097,,guatemala,15.659,-89.998,5
1911,1771,"Oslo, Norway","Oslo, Norway",10.7522,59.9139,2,latlong.net,Near,,43527,Norvegian waters near Christiania,Christiana,59.9167,10.75,4
1911,1772,Red Sea,Red Sea,38.5126,20.2802,5,latlong.net,Sea,,100395,Red Sea,Red Sea,19,39.5,5
1911,2047,Argentina-Paraguay Border,Midpoint of shared (national) border,-58.0107,-26.1068,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,167565,Paraguay-Argentinean border,"Formosa Roque, Arg",-25,-60,4
1911,2126,"Pocitas, Peru","Pocitas, Peru",-81.0726,-4.11128,2,latlong.net,Near,,135915,Pocitas Zone,"Pocitas, Peru",22.1333,-79.6333,3
1911,2234,Haiti,Centroid of ADM0,-72.6795,18.9416,6,ArcGIS and cShapes,State,Uses 1946 data,102732,,haiti,19.11,-72.54,5
1911,3139,"Rabat, Morocco","Rabat, Morocco",-6.84981,33.9716,8,latlong.net,Capital,,81024,Morocco,Rabat,34.0333,-6.83333,5
1911,3330,Morocco Territorial Waters,Centroid of Mediterranean territorial waters,-3.71275,35.3937,3,ArcGIS and Marine Regions,Territorial waters,,78870,Mediterranean waters off Morroco,Tangier,35.7847,-5.81278,4
1912,21,AUH-Serbia Border,Midpoint of shared (national) border,19,45.89,5,MIDLOC1.1,Point along a line,,63715,,md point of serb-auh border,45.89,19,4
1912,316,"Tunis, Tunisia","Tunis, Tunisia",10.1815,36.8065,2,latlong.net,Near,,76658,Off the coast of Tunis,"Gulf of Tunis, Tunisia",37,10.5,2
1912,317,Bulgaria,Centroid of ADM0,25.2315,42.7614,6,ArcGIS and cShapes,State,Uses 1946 data,67968,,Bulgaria,42.6,25.31,5
1912,1095,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637,5,MIDLOC1.1 and latlong.net,Point along a line,,166126,Rio Paraguay,"Asuncion, Paraguay",-25.2667,-57.6667,4
1912,1148,"Oriente, Ecuador","Oriente, Ecuador",-77,-2,5,MIDLOC1.1,> ADM1,,133044,Oriente,"Oriente, Ecuador",-2,-77,1
1912,1207,Dominican Republic-Haiti Border,Midpoint of shared (national) border,-71.7183,18.7414,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,102734,Haitian-Dominican border,"Banica, DR",19.0833,-71.7,4
1912,1250,Bulgaria-Turkey Border,Midpoint of shared (national) border,27.1055,42.0943,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,68692,,tur-bul border,41.47,26.9,4
1912,1598,"Puerto Pizarro, Peru","Puerto Pizarro, Peru",-80.3909,-3.50371,1,latlong.net,Precise location text,,135197,"Puerto Pizarro, Rio Caqueta","Rio Caqueta, Brazil",-3.13333,-64.7667,4
1912,3254,"Manzhouli, China","Manzhouli, China",117.379,49.5978,1,latlong.net,Precise location text,,57752,Manzhouli (Outer Mongolia),"Manzhouli, China",49.6,117.433,3
1912,3255,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509,3,ArcGIS and GADM,ADM2,,67202,"Ili Region, Kaxgar area","Ili, Kazakhstan",45.4,74.1333,3
1913,3,Austria-Yugoslavia Border,Midpoint of shared (national) border,14.911,46.6223,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,62267,Austria's border with Serbia,"Belgrade, Yug",44.8119,20.4656,4
1913,136,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738,1,latlong.net,Precise location text,,102045,"Veracruz, Mexico",Veracruz,31.4472,-112.358,1
1913,238,"Puerto Barrios, Guatemala","Puerto Barrios, Guatemala",-88.5855,15.6954,2,latlong.net,Near,,107100,"off Puerto Barrios, Guatemala",Puerto Barrios,15.7167,-88.6,2
1913,1196,"Isla de Providencia, Colombia","Isla de Providencia, Colombia",-81.3729,13.3388,2,latlong.net,Island,,110715,San Andry Providencia Islands,"Isla de Providencia, Col",13.35,-81.3667,3
1913,1251,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,68043,,yug-bul border,43.47,22.66,4
1913,2311,"Belize City, Belize","Belize City, Belize",-88.1962,17.5046,8,latlong.net,Capital,,104221,"British Honduras, Gulf of Mexico","Belize City, Belize",17.4833,-88.1833,5
1913,2312,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738,1,latlong.net,Precise location text,,102045,Veracruz,"Veracruz, Mexico",31.4833,-107.4,1
1913,2313,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738,1,latlong.net,Precise location text,,102045,Veracruz,"Veracruz, Mexico",31.4833,-107.4,1
1914,69,"Puerto Plata, Dominican Republic","Puerto Plata, Dominican Republic",-70.6871,19.7808,1,latlong.net,Precise location text,,101296,"Dominican Republic, Puerto Plata",Puerto Plata,19.8,-70.6833,1
1914,100,"Port-au-Prince, Haiti","Port-au-Prince, Haiti",-72.3074,18.5944,8,latlong.net,Capital,,102733,Haiti,Port au Prince,18.5392,-72.335,5
1914,257,AUH-Serbia Border,Midpoint of shared (national) border,19.54,46.08,5,MIDLOC1.1,Point along a line,,62997,,md point of AUH-SERB border,46.08,19.54,4
1914,260,China (Shandong [ADM1]),Centroid of ADM1,118.151,36.352,4,ArcGIS and GADM,ADM1,,77194,Shantung Province,Shantung Province,36,119,3
1914,320,"Leuven, Belgium","Leuven, Belgium",4.70052,50.8798,1,latlong.net,Precise location text,,56487,,"Leuven, BEL",50.88,4.7,4
1914,394,"Tirana, Albania","Tirana, Albania",19.8187,41.3275,8,latlong.net,Capital,,70197,Albania,Tirana,41.3275,19.8189,5
1914,397,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,68043,,md point of BUL-YUG border,42.94,22.95,4
1914,1131,Iran (Northwest [> ADM1]),Centroid of > ADM1,46.879,35.8777,5,ArcGIS and GADM,> ADM1,,78011,Northwest Iran,Tabriz,38.08,46.2919,3
1914,1654,North Sea,North Sea,3.51563,56.511,5,latlong.net,Sea,,47833,North Sea,North Sea,55.3333,3,5
1914,1661,North Sea,North Sea,3.51563,56.511,5,latlong.net,Sea,,47833,North Sea,North Sea,55.3333,3,5
1914,1725,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,150900,Atlantic Ocean,mid pt of ocean,16.4142,-37.5764,5
1914,1773,"Luanda, Angola","Luanda, Angola",13.2894,-8.83999,8,latlong.net,Capital,,142184,Angola,Luanda,-8.83833,13.2344,5
1914,1774,Germany coastline (Eastern),Midpoint of coastline,12.1614,54.2144,5,ArcGIS and GADM,Point along a line,,51450,,ger coast,54.04,13.97,4
1914,3258,Russia (Tuva [ADM1]),Centroid of ADM1,94.793,51.5914,4,ArcGIS and GADM,ADM1,,54895,Tangnuwulianghai,"Tangnuwulianghai, Russia",53,96,1
1914,3341,Bodensee Obersee,Bodensee Obersee,9.42491,47.5937,5,latlong.net,Point along a line,,60816,"pt where borders of swi, ger, auh meet",,47.569,9.704,2
1914,3343,Bulgaria-Greece Border,Midpoint of shared (national) border,24.8234,41.4042,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,70127,bulg-gr Border,mid pt of border,41.3228,24.6775,4
1914,3344,Greece-Turkey Border,Midpoint of shared (national) border,26.3871,41.2561,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,70130,gr-turk Border,mid pt of border,41.2225,26.4828,4
1914,3351,Unspecified,,,,-99,,Location unclear or unspecified,,,Heingo Harbor,,,,7
1915,324,Greece (Crete [ADM1]),Centroid of ADM1,24.8447,35.2293,4,ArcGIS and GADM,ADM1,,78767,,"crete, GRE",35.31,25.02,3
1915,398,North Sea,North Sea,3.51563,56.511,5,latlong.net,Sea,,47833,North Sea,North Sea,55.3333,3,5
1915,1656,North Sea,North Sea,3.51563,56.511,5,latlong.net,Sea,,47833,"North Sea, Baltic Sea",North Sea,55.3333,3,5
1915,1732,North Sea,North Sea,3.51563,56.511,5,latlong.net,Sea,,47833,North Sea,North Sea,55.3333,3,5
1915,1775,Mexico-United States Border,Midpoint of shared (national) border,-105.809,31.2332,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,84826,us-mex border,mid pt of border,31.2192,-105.938,4
1915,2645,North Sea,North Sea,3.51563,56.511,5,latlong.net,Sea,,47833,"North Sea, Baltic Sea",North Sea,55.3333,3,5
1915,3349,Spain Territorial Waters (Northern),Centroid of territorial waters,-5.67425,43.7252,3,ArcGIS and Marine Regions,Territorial waters,,66626,"Coast off of Spain, Atlantic Ocean",Algeciras,36.1275,-5.45389,4
1915,3352,Maritza River,Midpoint of river,25.8939,42.0029,5,ArcGIS and Natural Earth Data,Point along a line,,68689,Maritza River,"Maritza River, Turkey",40.8667,26.2,4
1916,321,Mexico-United States Border,Midpoint of shared (national) border,-105.809,31.2332,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,84826,US-MEX border,mid pt on border,31.2192,-105.938,4
1916,322,"Santo Domingo, Dominican Republic","Santo Domingo, Dominican Republic",-69.9312,18.4861,8,latlong.net,Capital,,103458,Dominican Republic,Santo Domingo,18.4667,-69.9,5
1916,323,Greece,Midpoint of coastline,23.1314,37.79,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,75244,,md point of GRE coast,36.63,23.17,4
1916,395,Portugal,Centroid of ADM0,-8.56274,39.601,6,ArcGIS and cShapes,State,Dual event; ADM1s not contiguous; Uses 1946 data,72380,"Lisbon, Oporto","Oporto, Portugal",41.15,-8.61667,1
1916,396,Hungary-Romania Border,Midpoint of shared (national) border,21.6287,46.9048,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,62281,Border,ROM border,47.0889,21.7694,4
1916,399,Between Atlantic Ocean and North Sea,Dividing Line,4,61.0283,6,MIDLOC1.1,Ocean,,41354,"Atlantic Ocean, North Sea]",line between AO & NS,61.0283,-4.23833,4
1916,1726,"Cardiff, United Kingdom","Cardiff, United Kingdom",-3.17909,51.4816,1,latlong.net,Precise location text,,55819,"Cardiff, United Kingdom",Cardiff,51.5,-3.2,1
1916,2205,"Zhengjiatun, Liaoning, China","Zhengjiatun, Liaoning, China",123.713,41.2889,1,latlong.net,Precise location text,,69925,"Zhengjiatun, Liaoyang Province","Liaoyang, China",41.2261,123.056,3
1916,2310,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738,1,latlong.net,Precise location text,,102045,Veracruz,"Veracruz, Mexico",31.4833,-107.4,1
1916,2648,"Corfu, Greece","Corfu, Greece",19.9217,39.6243,3,latlong.net,ADM2 like,,72357,Corfu,"Corfu, Greece",39.6667,19.75,5
1916,2733,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1916,3348,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1917,197,"Vladivostok, Russia","Vladivostok, Russia",131.887,43.1198,2,latlong.net,Near,,67061,,near Vladivostok,43.11,131.99,2
1917,400,Brazil,Midpoint of coastline,-37.9329,-4.30799,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,135842,Coast of Brazil,mid pt on brazilian coast,-10.3231,-36.3331,4
1917,521,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1917,632,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136,8,latlong.net,Capital,,96313,Cuba,Havana,23.1319,-82.3642,5
1917,1142,"Harbin, China","Harbin, China",126.535,45.8038,1,latlong.net,Precise location text,,63451,"Harbin, China","Harbin, China",45.75,126.65,1
1917,1175,Motagua River,Midpoint of river,-89.4986,15.0868,5,ArcGIS and Natural Earth Data,Point along a line,,107819,Motagua River area,Rio Motagua,15.7333,-88.2333,4
1917,1660,Sweden,Midpoint of coastline,17.7342,59.4494,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,44261,,md point of swe coast,59.8,19.22,4
1917,1724,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,150900,Atlantic Odean,mid pt of ocean,16.4142,-37.5764,5
1917,2649,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1918,522,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1918,1132,"Tehran, Iran","Tehran, Iran",51.389,35.6892,8,latlong.net,Capital,,78020,Iran,Tehran,35.6719,51.4244,5
1918,1182,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,163242,Chaco Boreal,"Asuncion, Paraguay",-25.2667,-57.6667,3
1918,1195,Honduras-Nicaragua Border,Midpoint of shared (subnational) border,-85.4934,14.082,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,109267,Nicaraguan-Honduran border,"Danli, Honduras",14.0333,-86.5833,4
1918,1257,"Bessarabia, Moldova","Bessarabia, Moldova",28.6959,48.0285,1,latlong.net,Precise location text,,60055,Bessarabia,"Bessarabia, Moldova",47,28.5,1
1918,1262,Albania,Centroid of ADM0,20.0684,41.1423,6,ArcGIS and cShapes,State,,70198,,albania,41.15,20.25,5
1918,1263,Romania-Yugoslavia Border,Midpoint of shared (national) border,21.3655,44.8442,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,65160,border,rom-yug border,44.6675,21.9239,4
1918,1477,Finland (Aland Islands [ADM1]),Centroid of ADM1,20.1648,60.2019,4,ArcGIS and GADM,ADM1,,42826,Aland Islands,"Aland, Finland",60.25,20,3
1918,1777,"Harbin, China","Harbin, China",126.535,45.8038,5,latlong.net,> ADM1,,63451,Manchuria,"Harbin, China",45.75,126.65,3
1918,2184,Mexico-United States Border,Midpoint of shared (national) border,-105.809,31.2332,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,84826,us-mex border,mid pt of border,31.2192,-105.938,4
1918,2363,"Yerevan, Armenia","Yerevan, Armenia",44.4991,40.1792,6,latlong.net,State like,,71526,Caucasus and Transcaucasus,"Yerevan, Armenia",40.1833,44.5,5
1918,2603,Belarus-Lithuania Border,Midpoint of shared (national) border,25.7994,54.2536,5,ArcGIS and cShapes,Point along a line,Uses 1991 data,51397,,lith east border,55.67,26.78,2
1918,2605,Estonia-Russia Border,Midpoint of shared (national) border,27.508,58.5314,5,ArcGIS and cShapes,Point along a line,Uses 1991 data,44921,,usr-est border,58.498,27.688,4
1918,2646,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1918,2647,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1918,3345,Turkey (Rize [ADM1] and Trabzon [ADM1]),Centroid of > ADM1,40.259,40.853,5,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,70878,Trebizond and Rize,"Rize, Turkey",41.0333,40.5167,1
1918,3346,Kaliningrad,Kaliningrad,20.4522,54.7104,5,MIDLOC1.1 and latlong.net,Point along a line,,50746,Border of Prussia - Russia,Kaliningrad,54.71,20.5,4
1919,230,Turkey (Antalya [ADM1]),Centroid of ADM1,30.9203,36.7984,4,ArcGIS and GADM,ADM1,,76619,"Adalia, SW Turkey",Adalia,36.8833,30.7,3
1919,1219,Poland-Russia Border,Midpoint of shared (national) border,23.4462,52.5394,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,53632,USSR-Polish border,"Brest, Byelorussia",52.1,23.7,4
1919,1265,Hungary,Centroid of ADM0,19.4134,47.1665,6,ArcGIS and cShapes,State,Uses 1946 data,61556,,hungary,47.19,19.51,5
1919,1268,"Teschen, Poland","Teschen, Poland",18.6355,49.7498,1,latlong.net,Precise location text,,57955,Teschen,"Teschen, Poland",49.7667,18.6,1
1919,1269,Latvia,Centroid of ADM0,24.9294,56.8575,6,ArcGIS and cShapes,State,Uses 1991 data,47795,,latvia,56.99,25.08,5
1919,1270,Turkey (Western [> ADM1]),Centroid of > ADM1,29.2699,39.0793,5,ArcGIS and GADM,> ADM1,,73016,Western Turkey,Gallipoli,40.4,26.6667,3
1919,1272,"Vilnius, Lithuania","Vilnius, Lithuania",25.2797,54.6872,8,latlong.net,Capital,,50676,,lit-pol border,54.33,25.8,4
1919,1723,Russia (Karelia [ADM1]),Centroid of ADM1,33.148,63.5415,4,ArcGIS and GADM,ADM1,,37732,Karelia,"Karelia, Russia",64,32,1
1919,1810,"Fuzhou, China","Fuzhou, China",119.296,26.0745,1,latlong.net,Precise location text,,91596,Fuzhou Shantung Province,"Fuzhou, China",26.0614,119.306,3
1919,2185,Mexico-United States (Texas [ADM1]) Border,Midpoint of shared (subnational) border,-101.37,29.6701,5,ArcGIS and GADM,Point along a line,,86995,Texas-Mexico border,"Ciudad Acuna, Mexico",29.3,-100.917,4
1919,2604,Latvia-Russia Border,Midpoint of shared (national) border,27.7032,56.9124,5,ArcGIS and cShapes,Point along a line,Uses 1991 data,47801,,usr-lat border,56.859,28.025,4
1919,2700,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,60582,Amur River,"Amur River, Russ",52.9333,141.167,4
1919,2701,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,60582,Amur River,"Amur River, Russ",52.9333,141.167,4
1919,2702,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,60582,Amur River,"Amur River, Russ",52.9333,141.167,4
1919,3134,Cilicia,Cilicia,36,37,5,MIDLOC1.1,> ADM1,,75910,"Cilicia, E. Turkey",Cilicia,37,36,1
1919,3340,"Ferrol, Spain","Ferrol, Spain",-8.21935,43.4896,1,latlong.net,Precise location text,,67341,"Ferrol, Spain",Ferrol,43.4833,-8.23333,1
1919,3599,Austria (Carinthia [ADM1]),Centroid of ADM1,13.915,46.7736,4,ArcGIS and GADM,ADM1,,62265,Carinthia,"Carinthia, Austria",46.75,13.8333,1
1920,186,"Warsaw, Poland","Warsaw, Poland",21.0122,52.2297,8,latlong.net,Capital,,54348,Poland,Warsaw,52.25,21,5
1920,211,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,58653,,md point of GER FRA border,49,8.36,4
1920,327,"Istanbul, Turkey","Istanbul, Turkey",28.9784,41.0082,1,latlong.net,Precise location text,,70135,.,Istanbul,41.02,28.96,1
1920,510,"Vladivostok, Russia","Vladivostok, Russia",131.887,43.1198,1,latlong.net,Precise location text,,67061,Vladivostok,"Vladivostok, Russia",43.1333,131.9,1
1920,1133,Iranian Coastline (Caspian),Midpoint of coastline,51.6802,36.6202,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,76581,,md pt USR-IRN border,37.36,54.45,5
1920,1184,Bolivia-Chile Border,Midpoint of shared (national) border,-68.7092,-20.3063,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,158904,,md pt on CHL-BOL border,-20.66,-68.35,4
1920,1778,"Tirana, Albania","Tirana, Albania",19.8187,41.3275,8,latlong.net,Capital,,70197,Albania,Tirana,41.3275,19.8189,5
1920,2040,El Salvador-Honduras Border,Midpoint of shared (national) border,-88.3707,13.8792,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,109981,Honduran side of the border,"La Esperanza, Honduras",14.7833,-88.1667,4
1920,2206,China (Jilin [ADM1]),Centroid of ADM1,126.194,43.6644,4,ArcGIS and GADM,ADM1,,66330,Chientao (Jilin province),"Jilin, China",43.85,126.56,3
1920,2364,"Sevastopol, Ukraine","Sevastopol, Ukraine",33.5254,44.6166,8,latlong.net,Capital,,65105,Crimea,"Sevastopol, Russia",53.4556,35.1836,5
1920,2722,Sakhalin Island,Sakhalin Island,142.951,50.691,4,latlong.net,Island,,56271,Sakhalin Island,"Sakhalin, Russia",51,143,3
1921,127,"Belgium, France, Germany Border",Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,6.79061,49.1655,5,ArcGIS and GADM,Point along a line,,58651,,md point GER border with FRA/BEL,49.43,6.69,4
1921,158,Costa Rica-Panama Border,Midpoint of shared (national) border,-82.7141,8.92902,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,117192,,md point of border COS PAN,8.94,-82.53,4
1921,612,"Batum, Georgia","Batum, Georgia",41.6367,41.6168,1,latlong.net,Precise location text,,69441,"Batum, Georgia","Batum, Georgia",41.6489,41.6483,1
1921,1233,Austria (Burgenland [ADM1]),Centroid of ADM1,16.5202,47.5415,4,ArcGIS and GADM,ADM1,,60831,Burgenland,"Burgenland, Austria",47.5,16.4167,1
1921,1234,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1921,1235,Albania (Northern [> ADM1]),Centroid of > ADM1,19.9127,42.1004,5,ArcGIS and GADM,> ADM1,,68757,Northern Albania,Shkoder,42.0675,19.5131,3
1921,1273,"Upper Silesia, Poland","Upper Silesia, Poland",19.322,50.5717,4,latlong.net,ADM1 like,,56516,Upper Silesia,"Upper Silesia, Poland",50.1667,18.8333,3
1921,1665,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136,8,latlong.net,Capital,,96313,Cuba,Havana,23.1319,-82.3642,5
1921,1666,"Amapala, Honduras","Amapala, Honduras",-87.6519,13.2917,1,latlong.net,Precise location text,,110702,"Amapala, Honduras",Amapala,15.85,-85.55,1
1921,2129,Pilcomayo River,Midpoint of river,-62.6244,-22.2771,5,ArcGIS and Natural Earth Data,Point along a line,,161796,Rio Pilcomayo,"Rio Pilcomayo, Bolivia",-19.3833,-65.8833,4
1921,3257,"Ulaanbaatar, Mongolia","Ulaanbaatar, Mongolia",106.906,47.8864,8,latlong.net,Capital,,60611,Outer Mongolia,Ulaanbaatar,47.9167,106.917,5
1921,3259,Russia (Tuva [ADM1]),Centroid of ADM1,94.793,51.5914,4,ArcGIS and GADM,ADM1,,54895,Tangnuwulianghai,"Tangnuwulianghai, Russia",53,96,1
1922,177,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,58653,,md point of GER FRA border,49,8.36,4
1922,328,"Istanbul, Turkey","Istanbul, Turkey",28.9784,41.0082,1,latlong.net,Precise location text,,70135,.,Istanbul,41.02,28.96,1
1922,625,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1922,1168,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,109267,Honduran-Nicaraguan border,"Jalapa, Nicaragua",13.9167,-86.1333,4
1922,1668,"Vladivostok, Russia","Vladivostok, Russia",131.887,43.1198,1,latlong.net,Precise location text,,67061,Vladivostok,"Vladivostok, Russia",43.1333,131.9,1
1922,1779,Afghanistan-Russia Border,Midpoint of shared (national) border,68.8599,37.3324,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,75815,Afganistan-USSR border,"Termez, Uzbekistan",37.2386,67.2783,4
1922,3181,"Austria, Italy, Yugoslavia Border",Intersection of multiple borders,13.7187,46.5266,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,62265,"border of ita, auh, yug",,46.525,13.77,2
1922,3182,"Hungary, Romania, Yugoslavia Border",Intersection of multiple borders,20.261,46.1149,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,62998,"border of hun, yug, rom",,46.15,20.515,2
1923,55,"Corfu, Greece","Corfu, Greece",19.9217,39.6243,3,latlong.net,ADM2 like,,72357,Corfu,"Corfu, Greece",39.4533,19.9197,5
1923,133,"Memel, Lithuania","Memel, Lithuania",21.1443,55.7033,1,latlong.net,Precise location text,,49308,.,"memel, lithuania",55.5,21.5,1
1923,241,Artic Ocean near Murmansk,"Murmansk, Russia",33.0827,68.9585,2,latlong.net,Near,,30532,Artic Ocean near Murmansk,"Murmansk coast, Russia",68.6667,37.5,2
1923,1240,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,68043,Yugoslavia/Bulgaria border,"Trn, Bulgaria",42.8353,22.6517,4
1923,1669,"Addis Ababa, Ethiopia","Addis Ababa, Ethiopia",38.7578,8.9806,8,latlong.net,Capital,,116955,Ethiopia,Addis Ababa,9.03333,38.7,5
1923,1780,"Encoro do Eume, Spain","Encoro do Eume, Spain",-7.99062,43.3764,5,latlong.net,Point along a line,,67342,Fume,"Rio Fume, Spain",43.4167,-8.13333,4
1923,2130,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,163242,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1924,1736,Ionian Sea,Ionian Sea,37.7885,18.8076,5,latlong.net,Sea,,102553,"Sicily, Rhodes","Palermo, Sicilly",38.1167,13.3667,3
1924,2131,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,163242,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1925,1241,Bulgaria-Greece Border,Midpoint of shared (national) border,24.8234,41.4042,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,70127,Greece/Bulgaria border,"Zlatograd, Bulgaria",41.3833,25.1,4
1925,1670,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872,8,latlong.net,Capital,,82424,Libya,"Tripoli, Libya",32.8925,13.18,5
1925,1781,Urta Toghai Island,Urta Toghai Island,69.5014,37.4986,2,latlong.net,Island,,75817,Urta Tagail Island,"Urta Toghai, Afghanistan",37.5,69.5,3
1925,2207,"Mukden, China","Mukden, China",123.431,41.8057,1,latlong.net,Precise location text,,69284,Mukden (Liaoyang Province) Manchuria,"Mukden, China",41.7922,123.433,3
1925,3183,Greece-Turkey Border,Midpoint of shared (national) border,26.3871,41.2561,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,70130,Greece/Turkey border,"Enez, Turkey",40.7333,26.0667,4
1925,3185,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1926,151,"Bluefields, Nicaragua","Bluefields, Nicaragua",-83.7704,12.0111,1,latlong.net,Precise location text,,112150,"Bluefields, Nicaragua",Bluefields,12,-83.75,1
1926,1671,France-Italy Border,Midpoint of shared (national) border,6.94729,44.8695,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,65131,Franco-Italian border,mid pt on border,44.8075,6.99444,4
1926,1673,,,,,-99,,Location unclear or unspecified,Added in MIDA_42,,,,,,
1926,2208,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
