year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
2005,4468,Tokdo Islands,Tokdo Islands,131.868,37.2427,2,latlong.net,Island,,75701,,,,,
2005,4469,Taiwan Territorial Waters,Taiwan territorial waters nearest to China,119.966,24.4155,5,ArcGIS and Marine Regions,Point along a line,,94477,,,,,
2005,4470,Senkaku (Diaoyu) Islands,Senkaku Islands,123.583,25.8333,3,latlong.net,Island,,92245,,,,,
2005,4471,Indonesia Territorial Waters,Point along territorial waters boundary nearest centroid of noncontiguous territorial waters,120.221,1.23538,5,ArcGIS and Marine Regions,Point along a line,Indonesia has four noncontiguous territorial waters; The included coordinates correspond to the point along Indonesia's territorial waters that are nearest to the centroid of these four noncontiguous territorial waters,127598,,,,,
2005,4472,"Chunxiao gas fields, East China Sea",Midpoint of shared (EEZ) border (in East China Sea),125.702,29.2457,5,ArcGIS and Marine Regions,Point along a line,,87209,,,,,
2005,4473,Korean Demilitarized Zone,Centroid of DMZ,127.474,38.2539,3,ArcGIS and ESRI,ADM2 like,,74252,,,,,
2005,4474,Bhutan-China Border,Midpoint of shared (national) border,90.2879,28.2749,5,ArcGIS and cShapes,Point along a line,,88738,,,,,
2005,4498,Colombia-Ecuador Border,Midpoint of shared (national) border,-77.1538,0.343266,5,ArcGIS and cShapes,Point along a line,,129443,,,,,
2005,4527,Iraq-Syria Border,Midpoint of shared (national) border,41.2236,34.8775,5,ArcGIS and cShapes,Point along a line,,79520,,,,,
2005,4528,Iraq (Kurdistan [> ADM1])-Turkey Border,Midpoint of shared (subnational) border,44.2385,37.278,5,ArcGIS and GADM,Point along a line,,75846,,,,,
2005,4529,Iraq (Kurdistan [> ADM1]),Centroid of > ADM1,44.5254,36.1063,5,ArcGIS and GADM,> ADM1,,77287,,,,,
2005,4530,Saudi Arabia-Yemen Border,Midpoint of shared (national) border,47.1539,16.95,5,ArcGIS and cShapes,Point along a line,,105372,,,,,
2005,4550,Canada (EEZ)-International Waters Border,Location of Canada EEZ nearest Portugal,-47.9025,46.6607,5,ArcGIS and Marine Regions,Point along a line,,62382,,,,,
2005,4551,Hans Island (Arctic Ocean),Hans Island,-66.4596,80.8269,2,latlong.net,Island,,13453,,,,,
2005,4566,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874,5,ArcGIS and GADM,Point along a line,,79426,,,,,
2005,4567,Celebes Sea,Celebes Sea,122.3,3.61211,5,latlong.net,Sea,,124002,,,,,
2005,4568,Pakistan (Waziristan [> ADM1]),Centroid of > ADM1,69.9079,32.6253,5,ArcGIS and GADM,> ADM1,,82297,,,,,
2005,4569,Cambodia (Preah Vihear [ADM1])-Thailand Border,Midpoint of shared (subnational) border,104.902,14.402,5,ArcGIS and GADM,Point along a line,,108847,,,,,
2005,4570,Malaysia-Thailand Border,Midpoint of shared (national) border,101.096,5.9239,5,ArcGIS and cShapes,Point along a line,,121160,,,,,
2005,4571,Pakistan (Waziristan [> ADM1]),Centroid of > ADM1,69.9079,32.6253,5,ArcGIS and GADM,> ADM1,,82297,,,,,
2006,4385,"Somare, Kenya","Somare, Kenya",39.0331,3.52712,1,latlong.net,Precise location text,,124156,,,,,
2006,4386,DRC-Uganda Border,Midpoint of shared (national) border,30.5205,1.28653,5,ArcGIS and cShapes,Point along a line,,127739,,,,,
2006,4387,Somalia (Gedo [ADM1]),Centroid of ADM1,41.9751,2.88744,4,ArcGIS and GADM,ADM1,,125601,,,,,
2006,4388,Burundi (Kayanza [ADM1])-Rwanda Border,Midpoint of shared (subnational) border,29.5432,-2.81755,5,ArcGIS and GADM,Point along a line,,133497,,,,,
2006,4389,Eritrea (DMZ)-Ethiopia Border,Midpoint of shared (subnational) border,39.6032,14.7804,5,ArcGIS and cShapes,Point along a line,,108317,,,,,
2006,4390,Sudan (Darfur [> ADM1]),Centroid of > ADM1,25.8995,13.9876,5,ArcGIS and GADM,> ADM1,,109729,,,,,
2006,4391,Kenyan-Somali (Gedo [ADM1]) Border,Midpoint of shared (subnational) border,42.3331,4.16455,5,ArcGIS and GADM,Point along a line,,123442,,,,,
2006,4431,Greece-Turkey Border (Territorial Waters),Midpoint of shared (territorial water) border,26.7665,37.9343,5,ArcGIS and Marine Regions,Point along a line,,75171,,,,,
2006,4432,Kyrgystan-Uzbekistan Border,Midpoint of shared (national) border,71.9143,41.1896,5,ArcGIS and cShapes,Point along a line,,70061,,,,,
2006,4433,Tajikistan-Uzbekistan Border,Midpoint of shared (national) border,68.8798,39.9247,5,ArcGIS and cShapes,Point along a line,,72215,,,,,
2006,4434,Armenia-Turkey Border,Midpoint of shared (national) border,43.6501,40.1234,5,ArcGIS and cShapes,Point along a line,,71525,,,,,
2006,4475,Japan-Russia Border (Airspace),Midpoint of shared (airspace) border,142.007,45.7095,5,ArcGIS and Marine Regions,Point along a line,,63482,,,,,
2006,4476,Tokdo Islands,Tokdo Islands,131.868,37.2427,2,latlong.net,Island,,75701,,,,,
2006,4477,Kaigara Islands,Kuril Islands,150.971,47.1544,5,latlong.net,Island,,61259,,,,,
2006,4499,Colombia-Ecuador Border (Airspace),Midpoint of shared (national) border,-77.1538,0.343266,5,ArcGIS and cShapes,Point along a line,,129443,,,,,
2006,4500,Colombia-Venezuela Border,Midpoint of shared (national) border,-69.9777,6.80034,5,ArcGIS and cShapes,Point along a line,,120018,,,,,
2006,4531,Egypt-Israel Border,Midpoint of shared (national) border,34.4711,30.7262,5,ArcGIS and cShapes,Point along a line,,85266,,,,,
2006,4532,"Latakia, Syria","Latakia, Syria",35.7953,35.5407,1,latlong.net,Precise location text,,78069,,,,,
