TerritoryID,TerritoryName
7546,Garwahl
7547,Indore
7548,Baghelkand
7549,Bundelkand
7551,Malwah
7552,Khaipur
7553,Idar
7554,Saugor
7555,Damoh
7556,Berar
7557,Khandesh
7558,Nasik
7559,Ahmadnagar
7561,Poona
7562,Sholapur
7563,Ratnagiri
7564,Bijapur
7566,Travancore
7570,Junagadh
7571,Sirohi
7572,Assam
7573,Kapurthala
7574,Chota Nagpur
7575,Coorg
7576,Carnul
7577,Sambalpur
7578,Satara
7579,Gwalior (Sindhia)
7581,Jhansi
7582,Raipur
7583,Jubbelpore
7584,Balagha
7585,Nagpur
7586,Oudh
7587,Manipur
7588,Baluchistan (Kalat)
7691,Lahore (Sikhs)
7692,Peshawar
7693,Sind
7694,Bahawalpur
7701,Swat
7702,Hunza
7703,Nagar
7704,Chitral
7705,Dir
7706,Amb
7707,Gwadar
7708,Azad Kashmir
7709,Northern Areas (of Kashmir)
7712,Tin Bigha
7745,Kantarawadi
7746,Bawlake
7747,Kyebogyi
7748,Nawng Palai
7749,Nammekon
7751,Hsipaw
7752,Tawngpeng
7753,North Hsen Wi
7754,South Hsen Wi
7755,Manglum
7756,Hsamonghkam
7757,Kyawkku
7758,Kyong
7759,Loi Ai
7760,Loi Long
7761,Loi Maw
7762,Maw
7763,Mawnang
7764,Mawson
7765,Namhkai
7766,Namtok
7767,Pangmi
7768,Pangtara
7769,Pwela
7770,Yengan
7771,Yawnghwe
7772,Lawksawk
7773,Wanyin
7774,Samka
7775,Hsahtung
7776,Hopong
7777,Namhkok
7778,Mong Pai
7779,Nawng Wawn
7780,Sakoi
7781,Lai Hka
7782,Mong Kung
7783,Mong Nai
7784,Mawkmai
7785,Mong Pawn
7786,Mong Sit
7787,Mong Pan
7788,Kenghkam
7789,Mong Nawng
7790,Kehsi Mansam
7791,Keng Lon
7792,Mong Hsu
7793,Keng Tung
7794,Hswanghsup
7795,Singkaling Hkamti
7796,Mong Mit
7797,Hkamti Long
7798,Karen-ni West
7799,Karen-ni East
7806,Jaffna Peninsula
7910,Tibet
8001,Chiang Mai (Lan-na)
8002,Pattani
8121,Vientiane
8122,Luang Prabang (Lan Sang)
8123,Chien Khouang
8124,Champassak
8151,Cochin China
8152,Annam
8153,Tonkin
8171,Paracel Is.
8201,Perak
8202,Selangore
8203,Pahang
8210,Negri Sembilan
8211,Songei Ujong
8212,Rambau
8213,Sri Menati
8214,Ulu Muar
8215,Jempol
8216,Johol
8217,Tampin
8221,Johore
8222,Kedah
8223,Kelantan
8224,Perlis
8225,Trengganu
8231,Labuan I.
8271,Malacca
8272,Penang
8401,Sulu Sultanate
8402,Bohol
8525,Sambas
8531,Atjeh
8532,Deli
8533,Siak
8534,Menangkabau
8535,Bkulen
8536,Jambi
8537,Palembang
8538,Kutei
8539,Torjaja
8541,Bali
8542,Lombok
8543,Banjermassin
8544,Riau
8545,Angkola
8546,Mandailing
8547,Tapanuli
8548,Lampong
8549,Buni
8551,Indrapuna
8552,Bone
8553,Gowa
8554,Luwu
8555,Bencoolen
8560,Buleleng
8561,Jembrana
900,Australia
901,New South Wales
902,Western Australia
903,South Australia
904,Victoria
905,Queensland
906,Tasmania
910,Papua New Guinea
911,Papua
912,New Guinea (German New Guinea) (KaiserWilhelmsland)
920,New Zealand
925,Cook Is.
930,New Caledonia and Dependencies
935,Vanuatu (New Hebrides)
940,Solomon Islands
945,Gilbert and Ellice Is.
946,Kiribati
947,Tuvalu
950,Fiji
955,Tonga
960,French Polynesia
970,Nauru
980,U. S. Pacific Trust Territories
983,Marshall Is.
984,Northern Marianas Is.
985,Guam
986,Republic of Palau
987,Federated States of Micronesia
990,Western Samoa
991,American Samoa
9001,Christmas I.
9002,Cocos (Keeling) Is.
9003,Coral Sea Is.
9004,Norfolk I.
9005,Heard and McDonald Is.
9006,Macquarie I.
9007,Lord Howe I.
9008,Ashmore and Cartier Is
9101,Republic of the Northern Solomons
9102,Bougainville
9201,Tokelau Is.
9202,Kermadec Is.
9203,Chatham Is.
9204,Bounty Is.
9205,Auckland Is.
9206,Campbell I.
9251,Rarotonga
9252,Northern Cook Is.
9253,Niue I.
9301,Chesterfield Is.
9321,Wallis and Futuna Is.
9322,Uvea
9323,Tua (Singave)
9324,Alo
9351,Vemarana (Espiritu Santo)
9401,German Solomon Is.
9451,Ocean I.
9452,Christmas I.
9453,Fanning I.
9454,Washington I.
9461,Canton and Enderbury Is.
9462,Malden I.
9463,Starbuck I.
9464,Vostok I.
9465,Flint I.
9466,Caroline I.
9501,Rotuma I.
9551,Vava'u
9552,Tongatapu
9553,Ha'apai
9601,Society Is.
9602,Marquesas Is.
9603,Tuamotu Is.
9604,Gambier Is.
9605,Tubuai Is. (Austral Is.)
9606,Tahiti
9610,Clipperton I.
9620,Pitcairn Is.
9621,Ducie I.
9720,Wake I.
9730,Midway Is.
9740,Palmyra Is.
9750,Johnston I.
9760,Kingman Reef
9770,Howland I.
9771,Baker I.
9772,Jarvis I.
9810,Caroline Is.
9820,Mariana Is.
9900,Samoa
9960,Australian Antarctic Territory
9970,French and Southern Antarctic Territories (F.S.A.T.)
9971,Adelie Land
9972,St. Paul and New Amsterdam Is.
9973,Kerguelen Is.
9974,Crozet Is.
9980,British Antarctic Territory
9981,Palmer Antarctic Territory
9982,South Orkney Is.
9983,South Shetland Is.
9984,South Sandwich Is.
9985,Argentine Antarctica
9986,Chilean Antarctica
9987,Neu Schwabenland
9991,Peter I I.
9993,Bouvet I.
2,United States of America
115,Suriname
200,United Kingdom
223,Liechtenstein
225,Switzerland
230,Spain
232,Andorra
235,Portugal
300,Austria-Hungary
331,San Marino
341,Montenegro
347,Kosovo
380,Sweden
450,Liberia
516,Burundi
626,South Sudan
640,Turkey
692,Bahrain
698,Oman
702,Tajikistan
790,Nepal
