StateA,StateB,StartDate,EndDate,StartYear,StartMonth,EndYear,EndMonth,Type,Notes
403,475,1975-07-01,2016-12-01,1975,07,2016,12,5,Across Gulf of Guinea; begins with STP system entry
403,481,1975-07-01,2016-12-01,1975,07,2016,12,4,Across Gulf of Guinea; begins with STP system entry
404,433,1974-09-01,2016-12-01,1974,09,2016,12,1,Begins with GNB system entry
404,438,1974-09-01,2016-12-01,1974,09,2016,12,1,Begins with GNB system entry
411,471,1968-10-01,2016-12-01,1968,10,2016,12,1,Begins with EQG system entry
411,475,1968-10-01,2016-12-01,1968,10,2016,12,4,Across Gulf of Guinea; begins with EQG system entry
411,481,1968-10-01,2016-12-01,1968,10,2016,12,1,Begins with EQG system entry
420,433,1965-02-01,2016-12-01,1965,02,2016,12,1,Begins with GAM system entry
432,433,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with SEN system entry
432,435,1960-11-01,2016-12-01,1960,11,2016,12,1,Begins with MAA system entry
432,436,1960-10-01,2016-12-01,1960,10,2016,12,1,Begins with NIR system entry
432,437,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CDI system entry
432,438,1960-06-01,2016-12-01,1960,06,2016,12,1,Begins with MLI system entry
432,439,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with BFO system entry
432,615,1962-07-01,2016-12-01,1962,07,2016,12,1,Begins with ALG system entry
433,435,1960-11-01,2016-12-01,1960,11,2016,12,1,Begins with MAA system entry
433,438,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with SEN system entry
434,436,1960-10-01,2016-12-01,1960,10,2016,12,1,Begins with NIR system entry
434,439,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with BFO system entry
434,452,1960-08-01,2016-12-01,1960,08,2016,12,4,Across Bight of Benin; begins with BEN system entry
434,461,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with BEN system entry
434,475,1960-10-01,2016-12-01,1960,10,2016,12,1,Begins with NIG system entry
435,600,1976-02-01,2016-12-01,1976,02,2016,12,1,Begins with MAA/MOR division of Spanish Sahara
435,615,1962-07-01,2016-12-01,1962,07,2016,12,1,Begins with ALG system entry
436,439,1960-10-01,2016-12-01,1960,10,2016,12,1,Begins with NIR system entry
436,471,1960-10-01,2016-12-01,1960,10,2016,12,4,Across Lake Chad; begins with NIR system entry
436,475,1960-10-01,2016-12-01,1960,10,2016,12,1,Begins with NIR system entry
436,483,1960-10-01,2016-12-01,1960,10,2016,12,1,Begins with NIR system entry
436,615,1962-07-01,2016-12-01,1962,07,2016,12,1,Begins with ALG system entry
436,620,1960-10-01,2016-12-01,1960,10,2016,12,1,Begins with NIR system entry
437,438,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CDI system entry
437,439,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CDI system entry
437,450,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CDI system entry
437,452,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CDI system entry
438,450,1958-10-01,2016-12-01,1958,10,2016,12,1,Begins with GUI system entry
438,451,1961-04-01,2016-12-01,1961,04,2016,12,1,Begins with SIE system entry
439,452,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with BFO system entry
439,461,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with BFO system entry
450,451,1961-04-01,2016-12-01,1961,04,2016,12,1,Begins with SIE system entry
452,461,1960-04-01,2016-12-01,1960,04,2016,12,1,Begins with TOG system entry
452,475,1960-10-01,2016-12-01,1960,10,2016,12,5,Across Bight of Benin; begins with NIG system entry
461,475,1960-10-01,2016-12-01,1960,10,2016,12,5,Across Bight of Benin; begins with NIG system entry
471,475,1960-10-01,2016-12-01,1960,10,2016,12,1,Begins with NIG system entry
471,481,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with GAB system entry
471,482,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CEN system entry
471,483,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CHA system entry
471,484,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CON system entry
475,481,1960-10-01,2016-12-01,1960,10,2016,12,5,Across Gulf of Guinea; begins with NIG system entry
475,483,1960-10-01,2016-12-01,1960,10,2016,12,3,Across Lake Chad; begins with NIG system entry
