igoID,StateID,JoinYear,LeaveYear
ACPEU,552,1986,2005
ACPEU,211,1986,2005
ACPEU,404,1986,2005
ACPEU,970,2002,2005
ACPEU,57,1986,2005
ACS,58,1994,2005
ACS,92,1994,2005
ACS,115,1994,2005
ACS,41,1994,2005
ACS,55,1994,2005
ACS,70,1994,2005
ACS,94,1994,2005
ACS,93,1994,2005
ACS,100,1994,2005
ACS,40,1994,2005
ACS,42,1994,2005
ACS,54,1994,2005
ACS,56,1994,2005
ACS,101,1994,2005
ACS,220,1999,2005
ACS,91,1994,2005
ACS,31,1994,2005
ACS,53,1994,2005
ACS,80,1994,2005
ACS,60,1994,2005
ACS,52,1994,2005
ACS,95,1994,2005
ACS,51,1994,2005
ACS,90,1994,2005
ACS,110,1994,2005
ACS,57,1994,2005
ACSO,516,1997,2005
ACSO,439,1997,2005
ACSO,436,1997,2005
ACSO,402,1997,2005
ACSO,438,1997,2005
ACSO,411,1997,2005
ACSO,540,1997,2005
ACSO,435,1997,2005
ACSO,437,1997,2005
ACSO,403,1997,2005
ACSO,580,1997,2005
ACSO,471,1997,2005
ACSO,517,1997,2005
ACSO,483,1997,2005
ACSO,433,1997,2005
ACSO,581,1997,2005
ACSO,522,1997,2005
ACSO,541,1997,2005
ACSO,616,1997,2005
ACSO,420,1997,2005
ACSO,484,1997,2005
ACSO,482,1997,2005
ACSO,432,1997,2005
ACSO,481,1997,2005
ACSO,434,1997,2005
ACSO,404,1997,2005
ACSSRB,255,1990,2005
ACSSRB,220,1950,1950
ACSSRB,220,1955,1955
ACSSRB,220,1960,1960
ACSSRB,220,1965,2005
ACSSRB,210,1950,1950
ACSSRB,210,1955,1955
ACSSRB,210,1960,1960
ACSSRB,210,1965,2005
ACSSRB,260,1955,1955
ACSSRB,260,1960,1960
ACSSRB,260,1965,1989
ACSSRB,212,1965,2005
ACSSRB,211,1950,1950
ACSSRB,211,1955,1955
ACSSRB,211,1960,1960
ACSSRB,211,1965,2005
ACSSRB,225,1950,1950
ACSSRB,225,1955,1955
ACSSRB,225,1960,1960
ACSSRB,225,1965,2005
ACU,771,1974,2005
ACU,760,1999,2005
ACU,775,1977,2005
ACU,630,1974,2005
ACU,750,1974,2005
ACU,770,1974,2005
ACU,780,1974,2005
ACU,790,1974,2005
ACWL,92,2004,2005
ACWL,325,2001,2005
ACWL,501,2001,2005
ACWL,380,2001,2005
ACWL,130,2001,2005
ACWL,390,2001,2005
ACWL,698,2003,2005
ACWL,150,2001,2005
ACWL,93,2001,2005
ACWL,800,2001,2005
ACWL,135,2001,2005
ACWL,100,2001,2005
ACWL,651,2001,2005
ACWL,713,2004,2005
ACWL,640,2003,2005
ACWL,42,2001,2005
ACWL,101,2001,2005
ACWL,91,2001,2005
ACWL,210,2001,2005
ACWL,663,2002,2005
ACWL,850,2004,2005
ACWL,385,2001,2005
ACWL,616,2001,2005
ACWL,200,2001,2005
ACWL,375,2001,2005
ACWL,750,2001,2005
ACWL,770,2001,2005
ACWL,590,2003,2005
ACWL,20,2001,2005
ACWL,395,2001,2005
ACWL,840,2001,2005
ACWL,95,2001,2005
ACWL,165,2001,2005
ACWL,90,2001,2005
ACWL,145,2001,2005
ACWL,205,2001,2005
ACWL,225,2004,2005
AFESD,692,1971,2005
AFESD,660,1968,2005
AFESD,625,1968,2005
AFESD,698,1975,2005
AFESD,645,1993,2005
AFESD,651,1968,1979
AFESD,651,1988,2005
AFESD,435,1974,2005
AFESD,678,1968,1990
AFESD,680,1968,1990
AFESD,670,1968,2005
AFESD,663,1968,2005
AFESD,615,1968,2005
AFESD,679,1990,2005
AFESD,616,1968,2005
AFESD,652,1968,2005
AFESD,696,1971,2005
AFESD,620,1968,2005
AFESD,694,1971,2005
AFESD,690,1968,2005
AFESD,600,1968,2005
AFESD,520,1974,1993
AFEXIMB,500,1997,2005
AFEXIMB,501,1997,2005
AFEXIMB,553,1997,2005
AFEXIMB,436,1997,2005
AFEXIMB,625,1997,2005
AFEXIMB,140,1997,2005
AFEXIMB,402,1997,2005
AFEXIMB,551,1997,2005
AFEXIMB,438,1997,2005
AFEXIMB,2,1997,2005
AFEXIMB,651,1997,2005
AFEXIMB,710,1997,2005
AFEXIMB,540,1997,2005
AFEXIMB,435,1997,2005
AFEXIMB,437,1997,2005
AFEXIMB,475,1997,2000
AFEXIMB,475,2002,2005
AFEXIMB,451,1997,2005
AFEXIMB,591,2002,2005
AFEXIMB,220,1997,2005
AFEXIMB,471,1997,2005
AFEXIMB,517,1997,2005
AFEXIMB,433,1997,2005
AFEXIMB,510,1997,2005
AFEXIMB,541,1997,2005
AFEXIMB,565,1997,2005
AFEXIMB,616,1997,2005
AFEXIMB,530,1997,2005
AFEXIMB,200,1997,2005
AFEXIMB,420,1997,2005
AFEXIMB,750,1997,2005
AFEXIMB,590,1997,2005
AFEXIMB,461,1997,2005
AFEXIMB,740,2002,2005
AFEXIMB,212,1997,2005
AFEXIMB,571,1997,2005
AFEXIMB,432,1997,2005
AFEXIMB,452,1997,2005
