WarID,PolityID,StartDate,StartDate_Prec,EndDate,EndDate_Prec,Side,IsInitiator,Outcome,Deaths
108,365,1918-12-02,Day,1920-02-01,Day,B,1,2,8000
108,255,1919-04-16,Day,1919-07-13,Day,B,0,2,750
109,290,1919-02-14,Day,1920-10-18,Day,A,0,1,40000
109,365,1919-02-14,Day,1920-10-18,Day,B,1,2,60000
112,315,1919-04-26,Day,1919-08-04,Day,A,0,1,2000
112,360,1919-04-16,Day,1919-08-04,Day,A,1,1,3000
112,310,1919-04-16,Day,1919-08-04,Day,B,0,2,6000
115,640,1919-05-05,Day,1922-10-11,Day,A,0,1,20000
115,350,1919-05-05,Day,1922-10-11,Day,B,1,2,30000
116,220,1919-11-01,Day,1921-10-20,Day,A,1,3,5000
116,640,1919-11-01,Day,1921-10-20,Day,B,0,3,35000
117,290,1920-07-15,Day,1920-12-01,Day,A,1,1,500
117,368,1920-07-15,Day,1920-12-01,Day,B,0,2,500
118,365,1929-08-17,Day,1929-12-03,Day,A,1,1,200
118,710,1929-08-17,Day,1929-12-03,Day,B,0,2,3000
121,740,1931-12-19,Day,1933-05-22,Day,A,1,1,10000
121,710,1931-12-19,Day,1933-05-22,Day,B,0,2,50000
124,150,1932-06-15,Day,1935-06-12,Day,A,0,1,36000
124,145,1932-06-15,Day,1935-06-12,Day,B,1,2,56661
125,670,1934-03-20,Day,1934-05-13,Day,A,1,1,100
125,678,1934-03-20,Day,1934-05-13,Day,B,0,2,2000
127,325,1935-10-03,Day,1936-05-09,Day,A,1,1,4000
127,530,1935-10-03,Day,1936-05-09,Day,B,0,2,16000
130,740,1937-07-07,Day,1941-12-06,Day,A,1,1,250000
130,710,1937-07-07,Day,1941-12-06,Day,B,0,2,750000
133,740,1938-07-29,Day,1938-08-11,Day,A,1,2,526
133,365,1938-07-29,Day,1938-08-11,Day,B,0,1,1200
136,365,1939-05-11,Day,1939-09-16,Day,A,0,1,5000
136,712,1939-05-11,Day,1939-09-16,Day,A,0,1,3000
136,740,1939-05-11,Day,1939-09-16,Day,B,1,2,20000
139,20,1939-09-10,Day,1945-08-14,Day,A,0,1,41992
139,200,1939-09-03,Day,1945-08-14,Day,A,0,1,418765
139,900,1939-09-03,Day,1945-08-14,Day,A,0,1,33826
139,920,1939-09-03,Day,1945-08-14,Day,A,0,1,12200
139,290,1939-09-01,Day,1939-09-27,Day,A,0,1,320000
139,220,1939-09-03,Day,1940-06-22,Day,A,0,1,210824
139,560,1939-09-06,Day,1945-08-14,Day,A,0,1,8700
139,211,1940-05-10,Day,1940-05-28,Day,A,0,1,9600
139,385,1940-04-09,Day,1940-06-09,Day,A,0,1,3000
139,210,1940-05-10,Day,1940-05-14,Day,A,0,1,7900
139,350,1940-10-25,Day,1941-04-23,Day,A,0,1,18300
139,345,1941-04-06,Day,1941-04-17,Day,A,0,1,305000
139,2,1941-12-07,Day,1945-08-14,Day,A,0,1,405400
139,365,1941-06-22,Day,1945-05-07,Day,A,0,1,7500000
139,710,1941-12-07,Day,1945-08-14,Day,A,0,1,1350000
139,530,1941-01-24,Day,1941-07-03,Day,A,0,1,5000
139,325,1943-10-18,Day,1945-05-07,Day,A,0,1,52400
139,360,1944-09-09,Day,1945-05-07,Day,A,0,1,10000
139,355,1944-09-09,Day,1945-05-07,Day,A,0,1,1000
139,140,1944-07-06,Day,1945-05-07,Day,A,0,1,1000
139,220,1944-10-23,Day,1945-08-14,Day,A,0,1,210824
139,712,1945-08-10,Day,1945-08-14,Day,A,0,1,3000
139,365,1945-08-08,Day,1945-08-14,Day,A,0,1,7500000
139,255,1939-09-01,Day,1945-05-07,Day,B,1,2,3500000
139,220,1940-07-07,Day,1941-07-14,Day,B,0,2,2500
139,325,1940-06-10,Day,1943-09-02,Day,B,0,2,174500
139,310,1941-06-27,Day,1945-01-20,Day,B,0,2,136000
139,375,1941-06-25,Day,1944-09-19,Day,B,0,2,65000
139,360,1941-06-22,Day,1944-08-23,Day,B,0,2,290000
139,355,1941-12-13,Day,1944-09-08,Day,B,0,2,9000
139,740,1941-12-07,Day,1945-08-14,Day,B,0,2,1740000
142,365,1939-11-30,Day,1940-03-12,Day,A,1,1,126875
142,375,1939-11-30,Day,1940-03-12,Day,B,0,2,24923
145,800,1940-12-01,Day,1941-01-28,Day,A,1,1,700
145,220,1940-12-01,Day,1941-01-28,Day,B,0,2,700
147,750,1947-10-26,Day,1949-01-01,Day,A,1,6,2500
147,770,1947-10-26,Day,1949-01-01,Day,B,0,6,1000
148,666,1948-05-15,Day,1948-07-18,Day,A,0,1,3000
148,666,1948-10-15,Day,1949-01-07,Day,A,0,1,3000
148,651,1948-05-15,Day,1948-07-18,Day,B,0,2,2000
148,652,1948-05-15,Day,1948-07-18,Day,B,0,2,1000
148,660,1948-05-15,Day,1948-07-18,Day,B,0,2,500
148,663,1948-05-15,Day,1948-07-18,Day,B,1,2,1000
148,645,1948-05-15,Day,1948-07-18,Day,B,0,2,500
148,651,1948-10-15,Day,1949-01-07,Day,B,0,2,2000
148,652,1948-10-15,Day,1948-10-31,Day,B,0,2,1000
148,660,1948-10-15,Day,1948-10-31,Day,B,0,2,500
148,663,1948-10-15,Day,1948-10-31,Day,B,1,2,1000
148,645,1948-10-15,Day,1948-10-31,Day,B,0,2,500
151,20,1950-12-19,Day,1953-07-27,Day,A,0,6,309
151,200,1950-08-29,Day,1953-07-27,Day,A,0,6,710
151,640,1950-10-18,Day,1953-07-27,Day,A,0,6,717
151,840,1950-09-16,Day,1953-07-27,Day,A,0,6,92
151,900,1950-12-10,Day,1953-07-27,Day,A,0,6,291
151,732,1950-06-24,Day,1953-07-27,Day,A,0,6,113248
151,2,1950-06-27,Day,1953-07-27,Day,A,0,6,54487
151,211,1951-01-20,Day,1953-07-27,Day,A,0,6,97
151,100,1951-06-06,Day,1953-07-27,Day,A,0,6,140
151,210,1951-01-20,Day,1953-07-27,Day,A,0,6,111
151,350,1951-01-20,Day,1953-07-27,Day,A,0,6,169
151,220,1951-01-01,Day,1953-07-27,Day,A,0,6,288
151,800,1951-01-20,Day,1953-07-27,Day,A,0,6,114
151,530,1951-05-01,Day,1953-07-27,Day,A,0,6,120
151,710,1950-10-27,Day,1953-07-27,Day,B,0,6,422612
151,731,1950-06-24,Day,1953-07-27,Day,B,1,6,316579
153,710,1954-09-03,Day,1955-04-23,Day,A,1,1,1003
153,713,1954-09-03,Day,1955-04-23,Day,B,0,2,1367
155,220,1956-10-31,Day,1956-11-06,Day,A,0,1,10
155,666,1956-10-29,Day,1956-11-06,Day,A,1,1,189
155,200,1956-10-31,Day,1956-11-06,Day,A,0,1,22
155,651,1956-10-29,Day,1956-11-06,Day,B,0,2,3000
156,365,1956-11-04,Day,1956-11-14,Day,A,1,1,1500
156,310,1956-11-04,Day,1956-11-14,Day,B,0,2,926
158,230,1957-11-21,Day,1958-04-10,Day,A,0,1,122
158,220,1958-02-10,Day,1958-04-10,Day,A,0,1,0
158,600,1957-11-21,Day,1958-04-10,Day,B,1,2,1000
159,710,1958-08-23,Day,1958-11-23,Day,A,1,6,300
159,713,1958-08-23,Day,1958-11-23,Day,B,0,6,1500
160,710,1962-10-20,Day,1962-11-22,Day,A,1,1,500
160,750,1962-10-20,Day,1962-11-22,Day,B,0,2,1353
163,816,1965-02-07,Day,1975-04-30,Day,A,0,1,700000
163,2,1965-02-07,Day,1973-01-27,Day,B,1,2,58153
163,732,1965-05-01,Day,1973-01-28,Day,B,0,2,4687
163,817,1965-02-07,Day,1975-04-30,Day,B,0,2,254257
163,900,1965-02-07,Day,1972-12-20,Day,B,0,2,494
163,840,1966-10-01,Day,1973-01-28,Day,B,0,2,1000
163,800,1967-10-01,Day,1973-01-28,Day,B,0,2,351
163,811,1970-03-01,Day,1975-04-17,Day,B,0,2,2500
166,770,1965-08-05,Day,1965-09-23,Day,A,1,1,3800
166,750,1965-08-05,Day,1965-09-23,Day,B,0,2,3261
169,666,1967-06-05,Day,1967-06-10,Day,A,1,1,1000
169,651,1967-06-05,Day,1967-06-10,Day,B,0,2,10000
169,663,1967-06-05,Day,1967-06-10,Day,B,0,2,6100
169,652,1967-06-05,Day,1967-06-10,Day,B,0,2,2500
170,816,1968-01-13,Day,1973-04-17,Day,A,1,1,2250
170,2,1968-01-13,Day,1973-04-17,Day,B,0,2,375
170,812,1968-01-13,Day,1973-04-17,Day,B,0,2,11250
170,800,1970-03-17,Day,1973-04-17,Day,B,0,2,
172,666,1969-03-06,Day,1970-08-07,Day,A,0,6,368
172,651,1969-03-06,Day,1970-08-07,Day,B,1,6,5000
175,92,1969-07-14,Day,1969-07-18,Day,A,1,1,700
175,91,1969-07-14,Day,1969-07-18,Day,B,0,2,1200
176,816,1970-03-23,Day,1971-07-02,Day,A,1,4,400
176,2,1970-05-01,Day,1971-07-02,Day,B,0,4,125
176,811,1970-03-23,Day,1971-07-02,Day,B,0,4,5000
176,817,1970-05-01,Day,1971-07-02,Day,B,0,4,1000
178,750,1971-12-03,Day,1971-12-17,Day,A,0,1,3241
178,770,1971-12-03,Day,1971-12-17,Day,B,1,2,7982
181,666,1973-10-06,Day,1973-10-24,Day,A,0,1,2838
181,651,1973-10-06,Day,1973-10-24,Day,B,1,2,7700
181,670,1973-10-10,Day,1973-10-24,Day,B,0,2,100
181,663,1973-10-10,Day,1973-10-24,Day,B,0,2,23
181,652,1973-10-06,Day,1973-10-24,Day,B,1,2,3500
181,645,1973-10-06,Day,1973-10-24,Day,B,0,2,278
184,640,1974-07-20,Day,1974-07-29,Day,A,1,1,1000
184,640,1974-08-14,Day,1974-08-16,Day,A,1,1,1000
184,352,1974-07-20,Day,1974-07-29,Day,B,0,2,500
184,352,1974-08-14,Day,1974-08-16,Day,B,0,2,500
186,40,1975-10-23,Day,1976-02-12,Day,A,0,4,1500
186,540,1975-11-11,Day,1976-02-12,Day,A,0,4,1000
186,560,1975-10-23,Day,1976-02-12,Day,B,1,4,100
186,490,1975-10-23,Day,1976-02-12,Day,B,0,4,100
187,530,1977-07-23,Day,1978-03-09,Day,A,0,4,1800
187,40,1977-11-23,Day,1978-03-09,Day,A,0,4,700
187,520,1977-07-23,Day,1978-03-09,Day,B,1,4,8000
189,816,1977-09-24,Day,1979-01-08,Day,A,0,4,3000
189,811,1977-09-24,Day,1979-01-08,Day,B,1,4,5000
190,510,1978-10-28,Day,1979-04-11,Day,A,0,1,1000
190,500,1978-10-28,Day,1979-04-11,Day,B,1,2,1500
190,620,1979-02-01,Day,1979-04-11,Day,B,0,2,500
193,710,1979-02-17,Day,1979-03-16,Day,A,1,1,13000
193,816,1979-02-17,Day,1979-03-16,Day,B,0,2,8000
199,630,1980-09-22,Day,1988-08-20,Day,A,0,6,750000
199,645,1980-09-22,Day,1988-08-20,Day,B,1,6,500000
202,200,1982-03-25,Day,1982-06-15,Day,A,0,1,255
202,160,1982-03-25,Day,1982-06-15,Day,B,1,2,746
205,666,1982-04-21,Day,1982-09-15,Day,A,1,6,455
205,652,1982-04-21,Day,1982-09-15,Day,B,0,6,1200
207,483,1986-11-15,Day,1987-09-11,Day,A,1,1,1000
207,620,1986-11-15,Day,1987-09-11,Day,B,0,2,7000
208,710,1987-01-05,Day,1987-02-06,Day,A,1,6,1800
208,816,1987-01-05,Day,1987-02-06,Day,B,0,6,2200
211,690,1990-08-02,Day,1991-04-11,Day,A,0,1,1000
211,2,1991-01-16,Day,1991-04-11,Day,A,0,1,376
211,20,1991-01-16,Day,1991-04-11,Day,A,0,1,0
211,200,1991-01-16,Day,1991-04-11,Day,A,0,1,24
211,325,1991-01-16,Day,1991-04-11,Day,A,0,1,0
211,600,1991-01-16,Day,1991-04-11,Day,A,0,1,0
